deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA1008,David,Alain,SOC,Socialistes et apparentés,Parti socialiste,Gironde,4,2024-07-07,2026-02-27,5799,433,0,5366,0.0747,237,187,9,3,1,0.3333,3873,0,0,,,
PA1567,Guedj,Jérôme,SOC,Socialistes et apparentés,Parti socialiste,Essonne,6,2024-07-07,2026-02-27,5799,1544,0,4255,0.2663,773,689,82,437,87,0.1991,3696,0,0,,,
PA1592,Habib,David,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Régions et peuples solidaires,Pyrénées-Atlantiques,3,2024-07-07,2026-02-27,5799,283,0,5516,0.0488,184,79,20,19,0,0.0000,689,0,0,,,
PA1630,Herbillon,Michel,DR,Droite Républicaine,Les Républicains,Val-de-Marne,8,2024-07-07,2026-02-27,5799,508,0,5291,0.0876,202,281,25,21,2,0.0952,716,0,0,,,
PA1654,Hollande,François,SOC,Socialistes et apparentés,Parti socialiste,Corrèze,1,2024-07-07,2026-02-27,5799,786,0,5013,0.1355,377,362,47,0,0,,3517,0,0,,,
PA227089,Létard,Valérie,LIOT,"Libertés, Indépendants, Outre-mer et Territoires","Union des démocrates européens, centristes et indépendants",Nord,21,2024-07-07,2026-02-27,5799,65,5,5729,0.0112,21,36,8,11,2,0.1818,292,0,0,,,
PA266793,Bony,Jean-Yves,DR,Droite Républicaine,Non rattaché(s),Cantal,2,2024-07-07,2026-02-27,5799,971,0,4828,0.1674,374,541,56,49,8,0.1633,1541,0,0,,,
PA266797,Gosselin,Philippe,DR,Droite Républicaine,Les Républicains,Manche,1,2024-07-07,2026-02-27,5799,1095,0,4704,0.1888,541,465,89,367,70,0.1907,1691,0,0,,,
PA266808,Rolland,Vincent,DR,Droite Républicaine,Les Républicains,Savoie,2,2024-07-07,2026-02-27,5799,536,0,5263,0.0924,188,330,18,279,11,0.0394,1464,0,0,,,
PA267042,Favennec-Bécot,Yannick,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Horizons,Mayenne,3,2024-07-07,2026-02-27,5799,714,0,5085,0.1231,311,386,17,15,0,0.0000,819,0,0,,,
PA267200,Huyghe,Sébastien,EPR,Ensemble pour la République,Les Républicains,Nord,5,2024-07-07,2026-02-27,5799,2083,0,3716,0.3592,813,1233,37,291,31,0.1065,854,0,0,,,
PA267285,Wauquiez,Laurent,DR,Droite Républicaine,Les Républicains,Haute-Loire,1,2024-07-07,2026-02-27,5799,583,0,5216,0.1005,201,360,22,314,50,0.1592,380,0,0,,,
PA267318,Grelier,Jean-Carles,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Sarthe,5,2024-07-07,2026-02-27,5799,236,0,5563,0.0407,122,112,2,46,28,0.6087,693,0,0,,,
PA267763,Bataille,Jean-Pierre,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Régions et peuples solidaires,Nord,15,2024-07-07,2026-02-27,5799,1013,0,4786,0.1747,424,503,86,194,20,0.1031,1466,0,0,,,
PA267780,Firmin Le Bodo,Agnès,HOR,Horizons & Indépendants,Horizons,Seine-Maritime,7,2024-07-07,2026-02-27,5799,1696,0,4103,0.2925,504,1083,109,228,64,0.2807,718,0,0,,,
PA267794,Tabarot,Michèle,DR,Droite Républicaine,Les Républicains,Alpes-Maritimes,9,2024-07-07,2026-02-27,5799,413,0,5386,0.0712,117,280,16,19,0,0.0000,787,0,0,,,
PA2940,Voynet,Dominique,ECOS,Écologiste et Social,Les Écologistes - EELV,Doubs,2,2024-07-07,2026-02-27,5799,2094,0,3705,0.3611,990,909,195,261,26,0.0996,9923,0,0,,,
PA2952,Warsmann,Jean-Luc,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Non rattaché(s),Ardennes,3,2024-07-07,2026-02-27,5799,1000,0,4799,0.1724,337,472,191,41,15,0.3659,641,0,0,,,
PA2960,Woerth,Éric,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Oise,4,2024-07-07,2026-02-27,5799,2097,0,3702,0.3616,539,1521,37,38,3,0.0789,633,0,0,,,
PA309643,Besse,Véronique,NI,Non inscrit,UDR - Union des Droites pour la République,Vendée,4,2024-07-07,2026-02-27,5799,343,0,5456,0.0591,229,97,17,126,1,0.0079,230,0,0,,,
PA330008,Breton,Xavier,DR,Droite Républicaine,Les Républicains,Ain,1,2024-07-07,2026-02-27,5799,792,434,4573,0.1366,298,351,143,82,17,0.2073,2127,0,0,,,
PA330240,Ciotti,Éric,UDDPLR,Union des droites pour la République,UDR - Union des Droites pour la République,Alpes-Maritimes,1,2024-07-07,2026-02-27,5799,370,0,5429,0.0638,163,185,22,404,21,0.0520,39,0,0,,,
PA330909,Descoeur,Vincent,DR,Droite Républicaine,Les Républicains,Cantal,1,2024-07-07,2026-02-27,5799,1322,0,4477,0.2280,488,713,121,239,14,0.0586,1182,0,0,,,
PA331582,Vigier,Philippe,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Eure-et-Loir,4,2024-07-07,2026-02-27,5799,1509,0,4290,0.2602,491,1001,17,196,49,0.2500,638,0,0,,,
PA331973,Got,Pascale,SOC,Socialistes et apparentés,Parti socialiste,Gironde,5,2024-07-07,2026-02-27,5799,1533,0,4266,0.2644,782,649,102,17,5,0.2941,3636,0,0,,,
PA332228,Benoit,Thierry,HOR,Horizons & Indépendants,Horizons,Ille-et-Vilaine,6,2024-07-07,2026-02-27,5799,1947,0,3852,0.3357,703,977,267,52,5,0.0962,655,0,0,,,
PA332523,Dalloz,Marie-Christine,DR,Droite Républicaine,Les Républicains,Jura,2,2025-04-06,2026-02-27,4534,1009,0,3525,0.2225,308,674,27,168,14,0.0833,876,0,0,,,
PA333285,Garot,Guillaume,SOC,Socialistes et apparentés,Parti socialiste,Mayenne,1,2024-07-07,2026-02-27,5799,1594,0,4205,0.2749,727,754,113,123,33,0.2683,3541,0,0,,,
