deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA1008,David,Alain,SOC,Socialistes et apparentés,Parti socialiste,Gironde,4,2026-01-28,2026-02-27,577,41,0,536,0.0711,14,27,0,0,0,,215,0,0,,,
PA1567,Guedj,Jérôme,SOC,Socialistes et apparentés,Parti socialiste,Essonne,6,2026-01-28,2026-02-27,577,93,0,484,0.1612,25,68,0,0,0,,161,0,0,,,
PA1592,Habib,David,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Régions et peuples solidaires,Pyrénées-Atlantiques,3,2026-01-28,2026-02-27,577,3,0,574,0.0052,3,0,0,0,0,,30,0,0,,,
PA1630,Herbillon,Michel,DR,Droite Républicaine,Les Républicains,Val-de-Marne,8,2026-01-28,2026-02-27,577,2,0,575,0.0035,1,1,0,1,0,0.0000,29,0,0,,,
PA1654,Hollande,François,SOC,Socialistes et apparentés,Parti socialiste,Corrèze,1,2026-01-28,2026-02-27,577,17,0,560,0.0295,7,10,0,0,0,,129,0,0,,,
PA227089,Létard,Valérie,LIOT,"Libertés, Indépendants, Outre-mer et Territoires","Union des démocrates européens, centristes et indépendants",Nord,21,2026-01-28,2026-02-27,577,17,0,560,0.0295,9,8,0,0,0,,56,0,0,,,
PA266793,Bony,Jean-Yves,DR,Droite Républicaine,Non rattaché(s),Cantal,2,2026-01-28,2026-02-27,577,111,0,466,0.1924,76,29,6,2,0,0.0000,46,0,0,,,
PA266797,Gosselin,Philippe,DR,Droite Républicaine,Les Républicains,Manche,1,2026-01-28,2026-02-27,577,208,0,369,0.3605,132,64,12,9,1,0.1111,178,0,0,,,
PA266808,Rolland,Vincent,DR,Droite Républicaine,Les Républicains,Savoie,2,2026-01-28,2026-02-27,577,63,0,514,0.1092,24,37,2,6,0,0.0000,80,0,0,,,
PA267042,Favennec-Bécot,Yannick,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Horizons,Mayenne,3,2026-01-28,2026-02-27,577,73,0,504,0.1265,30,40,3,0,0,,39,0,0,,,
PA267200,Huyghe,Sébastien,EPR,Ensemble pour la République,Les Républicains,Nord,5,2026-01-28,2026-02-27,577,134,0,443,0.2322,92,34,8,23,4,0.1739,108,0,0,,,
PA267285,Wauquiez,Laurent,DR,Droite Républicaine,Les Républicains,Haute-Loire,1,2026-01-28,2026-02-27,577,6,0,571,0.0104,5,1,0,0,0,,30,0,0,,,
